words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
linguajar,0,0,1,0,4
engelhar,-,1,0,0,3
abolsar,-,1,0,0,4
bajular,+,0,0,7,4
turibular,+,0,0,2,4
gelar,-,2,0,0,3
codejar,-,1,0,0,4
escarceado,-,1,0,0,3
medalha,+,0,0,1,4
pacificação,+,0,0,2,4
fé,+,0,0,1,3
armazenar,0,0,5,0,4
judicioso,0,1,2,0,3
bulício,-,1,0,0,1
matulagem,-,1,0,0,5
matula,-,2,0,0,4
balbúrdia,-,9,0,0,2
espalhada,-,1,0,0,2
desencarapuçar,0,0,1,0,5
empolgado,-,2,0,1,4
justa,-,2,0,1,3
limpar,+,0,1,5,3
espoar,+,0,0,1,4
pressentido,U,0,0,0,6
entrevisto,U,0,0,0,5
abonação,+,0,0,2,3
orar,0,0,2,0,2
novamente,U,0,0,0,4
eviterno,U,0,0,0,4
estimulante,0,0,1,0,4
aguçador,0,0,1,0,5
acepipe,+,0,0,2,5
lambugem,A,1,0,1,4
dedicação,+,0,0,3,3
refluxo,A,0,1,1,4
gateira,+,0,0,1,4
mono,-,2,0,0,2
símio,-,1,0,0,2
afrutar,0,0,1,0,3
busca-pé,-,1,0,0,5
rapapé,-,2,0,0,4
descravizar,0,0,2,0,4
abocar,0,0,3,0,3
aventar,0,0,2,0,3
caruncho,-,2,0,1,4
cárie,-,1,0,0,5
terça,+,0,0,1,6
madre,+,0,0,2,5
enovelar,-,3,0,2,3
elaborar,0,0,3,1,2
manufacturar,0,0,2,0,3
fender-se,A,0,1,1,2
lascar,0,0,1,0,2
coligir,+,0,0,2,2
faiscar,0,0,2,0,4
tarantulismo,U,0,0,0,-1
tarantismo,U,0,0,0,-1
aclamação,A,0,1,1,4
proclamação,0,0,1,0,4
paralítico,+,0,0,3,4
reputação,+,0,0,5,3
entontecer,-,3,0,0,4
arvoar,-,1,0,0,5
madureza,+,1,0,3,3
maturidade,+,0,0,2,3
densidade,+,0,0,3,4
invisual,U,0,0,0,5
cega,U,0,0,0,6
eximir-se,0,0,1,0,4
dispensar,0,0,2,0,3
avançar,0,0,2,0,2
caminhar,A,1,2,2,3
penetração,+,0,0,3,2
desaprumar,-,1,0,0,3
desempinar,-,1,0,0,4
cálculo,+,0,0,3,3
contabilidade,A,0,1,1,4
explorar,+,0,1,3,3
rechaçar,A,1,1,0,4
aferrolhador,+,0,0,1,11
doutrina,+,0,0,2,2
assarapantar,-,1,0,0,3
peixe-aranha,U,0,0,0,7
aranha,U,0,0,0,6
delico-doce,A,1,0,1,4
empavesar,+,0,0,1,4
bambarã,0,0,1,0,2
activar,+,0,2,3,3
esfoguetear,A,1,1,1,3
vanidade,U,0,0,0,4
erigir,A,0,3,3,2
anaçar,0,0,2,0,3
empírico,+,0,0,1,6
bufão,+,1,0,2,4
bufo,+,1,0,2,4
convinhável,+,0,0,2,3
receitar,0,0,2,0,3
libertino,-,3,2,2,4
consumo,-,2,0,0,4
dispêndio,-,1,0,0,3
certo,+,0,2,5,2
tranquilo,+,0,0,3,2
agressivo,-,7,0,0,4
izaquente,U,0,0,0,-1
iza,U,0,0,0,-1
pescar,+,0,0,1,1
contristar,-,3,0,0,3
rumorejar,0,0,2,0,4
refrulhar,0,0,2,0,5
atento,+,1,0,3,3
fito,+,0,0,6,3
semilíquido,-,2,0,0,4
alambicar,+,0,0,1,4
lerdaço,0,1,2,0,4
viuvez,+,0,0,1,4
miado,-,1,0,0,4
mio,-,1,0,0,5
polmão,U,0,0,0,4
resignar-se,A,1,1,0,3
derriçar,+,0,0,1,3
favorecido,+,0,0,2,4
enovelar-se,-,1,0,0,4
segador,U,0,0,0,-1
ceifeiro,U,0,0,0,-1
sensatez,+,0,0,6,3
cosmopolitismo,U,0,0,0,-1
universalismo,U,0,0,0,-1
galhardear,A,0,1,1,4
rabeco,U,0,0,0,-1
fardar-se,0,0,1,0,5
uniformizar,0,0,1,0,4
decretar,0,1,4,1,3
pronunciar,0,0,1,0,2
verrumão,-,1,0,0,7
carpinteiro,-,1,0,0,8
lapuz,A,1,1,0,3
jornaleiro,+,0,0,3,3
assalariado,+,0,0,1,4
vice-versa,U,0,0,0,-1
reciprocamente,U,0,0,0,-1
castiço,0,0,2,0,3
falsificado,-,6,0,0,4
esconjurar,-,3,2,0,3
adjurar,A,0,1,1,3
tabuleiro,0,0,1,0,4
leira,A,1,0,1,3
embarque,+,0,0,1,6
embarcação,+,0,0,1,5
cordilheira,+,0,0,1,7
espinhaço,+,0,0,1,6
ligamento,+,0,0,3,3
tampo,-,1,0,0,3
tampão,-,1,0,0,2
peso,+,2,3,8,3
penduricalho,+,0,0,1,5
aprumar,+,0,0,1,3
adoptado,+,0,0,3,5
seguido,+,1,1,4,4
bazofiar,+,0,2,5,4
imposturar,0,0,2,1,4
cenário,+,1,0,2,3
amoralidade,U,0,0,0,-1
amoralismo,U,0,0,0,-1
dotes,+,0,0,1,5
repicar,0,0,1,0,4
rebimbar,0,0,2,0,4
entófito,U,0,0,0,-1
endófito,U,0,0,0,-1
regular-se,0,0,4,0,3
moldar,0,0,6,0,3
paródia,-,2,0,0,3
planalto,U,0,0,0,5
altiplano,U,0,0,0,6
adiáfano,U,0,0,0,4
entrada,+,0,0,4,3
ingressão,+,0,0,1,4
atraso,-,1,0,0,4
servil,0,1,4,0,3
ancilar,0,0,1,0,4
criado,0,0,1,0,3
recife,-,2,0,0,4
iliterato,U,0,0,0,5
pântano,A,1,1,0,3
lenteiro,U,0,0,0,4
avessar,0,0,2,0,5
almocadém,+,0,0,1,5
muezim,+,0,0,1,6
tunantaria,U,0,0,0,-1
tunantagem,U,0,0,0,-1
superintendência,U,0,0,0,-1
feitorização,U,0,0,0,-1
enrugar-se,0,0,1,0,3
crispar,0,1,2,1,3
amanho,U,0,0,0,2
lingueta,+,0,0,1,3
encafifado,-,4,0,0,4
enxovalhar-se,-,1,0,0,3
pessimista,U,0,0,0,-1
catastrofista,U,0,0,0,-1
fechar,U,0,0,0,2
volante,A,1,0,1,4
espalmado,0,0,2,1,3
estupefaciente,-,2,0,0,5
entorpecente,-,1,0,0,6
venera,+,0,0,2,5
patuscada,-,3,0,0,3
franciscanada,-,3,0,0,4
deificação,U,0,0,0,5
endeusamento,A,1,1,0,4
pender,-,4,0,1,2
búzio,A,1,0,1,5
garrear,+,0,0,1,3
malvasia-do-bairro,U,0,0,0,-1
almáfego,U,0,0,0,-1
digressão,-,2,0,0,3
tournée,-,1,0,0,4
génio,+,0,0,3,2
esforçar,+,0,0,2,3
radicar,0,0,3,0,3
esquinante,-,1,0,0,3
desconvencer,0,0,1,0,5
familiarizado,+,0,0,1,5
encabeçado,A,0,1,1,4
bicos-de-papagaio,U,0,0,0,-1
espondilose,U,0,0,0,-1
travagem,+,0,0,1,5
travação,+,0,0,1,6
desenfardar,0,0,2,0,3
admirador,-,2,0,1,4
receptador,+,0,0,1,4
escondedor,+,0,0,1,5
mausoléu,+,0,0,3,4
retracção,-,2,0,0,5
amuo,-,6,0,2,4
turíbulo,U,0,0,0,-1
incensário,U,0,0,0,-1
charriscar,0,0,1,0,4
grandíloquo,A,0,1,1,2
estancar-se,-,1,0,0,4
revolta,-,2,1,0,2
deslavra,-,1,0,0,3
trangalhadanças,-,1,0,0,6
zangalho,-,1,0,0,7
ubertoso,0,0,3,0,4
chafurdeiro,-,1,0,0,4
apresentação,+,2,0,3,4
exibição,-,1,0,0,3
impermanente,-,3,0,0,4
reprimir-se,0,2,3,1,3
talho,+,0,0,2,3
espadachim,-,2,0,1,4
Citináceas,U,0,0,0,-1
Rafflesiáceas,U,0,0,0,-1
fisicalidade,+,0,0,1,5
amesquinhar,-,4,0,0,3
limpidez,+,0,0,5,4
cristal,+,0,0,2,4
festividade,-,2,0,1,4
desterrado,-,1,0,0,4
nugação,U,0,0,0,4
fatigar-se,-,3,0,0,4
estafar,-,3,1,1,3
parco,0,0,3,1,3
livrar-se,0,0,3,2,3
humanitarismo,+,0,0,1,4
filantropia,+,0,0,1,3
subornar,0,0,3,0,3
sineiro,+,0,0,1,6
campeiro,+,0,0,1,5
requebrador,U,0,0,0,7
beirado,+,0,0,2,4
arnaz,+,0,0,1,3
porta,+,0,0,5,3
excepcional,0,0,2,1,3
sustento,+,0,0,1,2
plutocracia,U,0,0,0,-1
argentarismo,U,0,0,0,-1
alucinado,-,1,0,0,5
gaseado,-,1,0,0,6
rapidíssimo,U,0,0,0,-1
celérrimo,U,0,0,0,-1
ocorrência,+,0,0,1,3
finamento,+,0,0,1,4
pormenor,-,2,0,0,4
filigrana,-,1,0,0,5
costumeira,+,0,0,2,4
costumança,+,0,0,1,5
esparramar,0,0,2,0,2
destacar-se,+,0,0,2,3
patetice,-,4,0,1,4
pacholice,A,1,0,1,4
vivificar,U,0,0,0,3
acertar,0,0,3,0,2
encarrilar,0,0,2,0,3
fritangada,U,0,0,0,-1
fritalhada,U,0,0,0,-1
cuneiforme,U,0,0,0,-1
esfenóide,U,0,0,0,-1
inflexibilidade,-,2,0,0,2
reclusão,+,0,0,5,3
encarceramento,+,0,0,1,3
jamais,+,0,0,1,4
intensificar-se,+,0,0,3,3
embalsamar,0,0,1,0,5
paladar,+,0,0,4,4
frigorífico,U,0,0,0,-1
refrigerador,U,0,0,0,-1
multíloquo,-,2,0,0,4
trovento,-,1,0,0,6
trovejante,-,2,0,0,5
cadeira,+,0,0,2,3
assento,+,0,0,1,2
borras,+,0,0,1,3
gargalo,-,1,0,0,4
goleira,-,2,0,0,5
clamor,-,2,0,0,2
velame,A,1,0,1,3
rociar,0,0,2,0,4
aljofarar,0,0,2,0,5
dino,+,0,0,1,3
malvado,-,2,0,0,1
depressivo,U,0,0,0,-1
deprimente,U,0,0,0,-1
tisiólogo,U,0,0,0,-1
tisiologista,U,0,0,0,-1
levidade,+,0,0,2,4
ainda,-,1,0,0,4
também,-,2,0,0,4
possuir,0,0,4,0,2
desnorteamento,-,1,0,0,3
despistamento,-,2,0,0,3
titular,A,0,1,1,3
neófito,0,0,1,0,5
iniciado,0,0,2,0,4
apalpanço,-,1,0,0,4
lufada,-,1,0,0,4
aconchegar-se,0,0,1,0,4
esbagaçar,A,1,1,0,3
mundial,U,0,0,0,4
universal,U,0,0,0,4
atleta,+,0,0,1,3
ginasta,+,0,0,1,4
alcoviteira,-,1,0,0,4
achegadeira,-,1,0,0,5
eriçar-se,U,0,0,0,4
hispidar-se,U,0,0,0,5
obducto,+,0,0,1,4
mioleira,+,0,0,2,3
talhante,-,3,0,0,4
benefício,+,0,1,6,2
regalia,+,0,0,5,3
intensificar,+,0,0,1,2
ferroada,U,0,0,0,5
navalhada,U,0,0,0,5
estupendo,A,2,1,2,3
sensacional,+,0,0,1,3
planturoso,0,1,2,1,3
esconde-esconde,U,0,0,0,-1
tantanguê,U,0,0,0,-1
desconcórdia,-,1,0,0,4
podriqueira,U,0,0,0,4
televisor,+,0,0,1,6
televisão,+,0,0,1,5
matracar,A,1,0,1,4
muralha,+,0,0,1,4
muramento,+,0,0,2,4
langoroso,-,2,0,0,3
ílio,U,0,0,0,-1
iliense,U,0,0,0,-1
desinfecção,0,0,1,0,5
asseptização,A,0,1,1,5
duplicidade,-,5,0,0,3
doblez,-,3,0,0,3
atropelamento,A,1,0,1,3
requisitar,0,0,2,0,3
advertido,0,0,2,1,4
antologia,U,0,0,0,5
florilégio,U,0,0,0,6
bragal,+,0,0,1,4
involução,U,0,0,0,4
anticlímax,A,1,0,1,3
amenidade,-,2,0,0,3
macieza,-,2,0,0,3
cheirinho,U,0,0,0,4
inofensivo,0,0,1,0,4
anódino,0,0,1,0,5
encastoar,0,0,2,0,4
raivar,U,0,0,0,4
raivecer,0,0,1,0,5
protestação,-,1,0,0,4
originar-se,0,0,5,0,2
narrador,U,0,0,0,-1
relatador,U,0,0,0,-1
lelo,+,1,0,2,4
preto,-,3,0,0,3
sistolar,U,0,0,0,-1
sistáltico,U,0,0,0,-1
intencionado,+,0,0,2,4
intencional,+,0,0,1,4
folia,-,4,0,0,4
alcachofrar,U,0,0,0,3
espécime,0,0,1,0,2
décima,+,0,0,1,4
desconectar,+,0,0,2,4
completar,0,0,2,0,2
polilha,U,0,0,0,-1
polela,U,0,0,0,-1
airosidade,+,0,0,3,3
definhamento,+,0,0,2,3
peco,-,3,1,1,4
respeitável,+,0,0,3,3
audaz,-,3,0,0,3
jazer,0,0,3,1,4
apodrecer,A,1,1,1,4
carapeto,0,0,1,0,4
trafulhice,-,2,0,0,2
fulheira,-,1,0,0,3
estrangeirinha,-,1,0,0,2
intrepidez,+,0,0,4,3
acusador,-,1,0,0,7
incriminatório,-,1,0,0,8
hierarquia,0,0,1,0,4
ligeiro,+,1,1,4,4
compatriota,A,0,1,1,4
paisano,0,0,1,0,4
lucrar,A,0,1,1,3
utilizar,0,0,4,1,3
farolar,0,0,2,0,5
farolizar,0,0,1,0,5
entumecer,+,0,0,1,4
intumescer,+,0,0,3,3
atender,A,0,1,1,2
bornal,U,0,0,0,6
abre-saca,U,0,0,0,5
bossa,+,0,0,2,2
crosta,+,0,0,2,4
coscoro,A,1,0,1,4
tavanês,-,3,0,2,3
folgado,A,1,1,0,3
amuado,-,3,0,0,4
trombudo,-,1,0,0,3
contrito,-,1,0,0,4
arrependido,-,3,0,0,4
canada,U,0,0,0,-1
bambuada,U,0,0,0,-1
bissexual,+,0,0,1,7
reacusar,0,0,1,0,4
carrancudo,-,9,1,0,3
impregnar-se,A,0,1,1,4
lúnula,U,0,0,0,6
muchacho,0,0,1,0,5
assuntar,+,0,1,2,3
núpcias,+,0,0,4,2
rapidez,0,0,3,0,3
vociferação,+,1,0,2,3
descansado,+,1,0,2,3
flauteado,+,0,0,1,3
apisto,U,0,0,0,-1
alpisto,U,0,0,0,-1
tal,0,0,2,1,4
durabilidade,0,0,2,1,3
postres,U,0,0,0,-1
quinta,U,0,0,0,4
fazenda,A,0,2,2,3
descair,-,6,0,0,3
gnose,+,0,0,3,3
calmar,U,0,0,0,4
calamar,U,0,0,0,5
dieléctrico,U,0,0,0,-1
isolador,U,0,0,0,-1
tosquiado,U,0,0,0,-1
chamorro,U,0,0,0,-1
contratador,-,1,0,0,4
brincalhão,A,1,1,0,3
destinar,0,0,7,0,3
orientar,0,0,11,0,3
reger,0,0,2,0,2
criada,+,0,0,1,4
servilheta,+,0,0,1,3
entrementes,U,0,0,0,-1
ínterim,U,0,0,0,-1
jugular,+,1,1,2,3
equivalente,A,0,1,1,4
homólogo,+,0,0,1,4
insígnia,+,0,0,6,4
maldade,-,2,0,0,1
estropício,-,2,0,0,2
furibundo,-,1,0,0,4
duração,0,0,1,0,2
bagalhudo,U,0,0,0,3
fúnebre,-,5,0,0,3
mortuário,-,1,0,0,4
efeminar,-,1,0,0,4
moliço,U,0,0,0,6
rapeira,U,0,0,0,5
chancela,+,1,0,3,4
robustecer-se,+,0,0,1,5
mover-se,0,0,7,0,3
remexer,0,0,8,0,3
plangor,-,3,0,0,4
segurar-se,+,0,1,2,3
piar,0,0,1,0,4
corroboração,+,0,0,3,3
roboração,+,0,0,3,3
inclemência,-,3,0,0,1
azafamar-se,0,0,2,0,5
trigar-se,0,0,1,0,4
encoberta,A,2,0,2,2
bago,-,1,0,0,4
desinteresse,-,3,0,0,3
frigidez,-,3,0,0,3
espermatófitas,U,0,0,0,-1
fanerogâmicas,U,0,0,0,-1
estrambótico,A,1,0,1,3
estapafúrdio,-,2,0,0,4
lide,0,0,2,1,4
rodear,0,0,2,0,3
cru,-,3,0,1,3
modorra,-,1,0,0,3
sopitamento,-,2,0,0,4
bramar,+,0,0,1,3
fremir,0,0,4,1,4
excruciar,-,1,0,0,3
claramente,0,0,1,0,3
tristonho,-,6,0,0,4
soturno,-,3,0,0,3
impressionante,-,2,0,0,5
encavar,0,0,2,0,4
musculoso,A,1,0,1,3
embaraçado,-,3,0,0,3
cachiço,-,1,0,0,6
cachucho,-,1,0,0,7
desordeiro,-,2,0,0,3
grau,+,0,0,5,3
arrematação,+,0,0,1,4
leilão,+,0,0,2,5
vorazmente,U,0,0,0,-1
adicto,+,0,0,2,4
resmunguice,-,1,0,0,5
rabugice,-,3,0,0,4
cultura,+,0,0,1,2
tafiá,U,0,0,0,5
encanecer,-,1,0,0,5
desatavio,+,0,0,1,4
arruela,-,1,0,0,7
nina,-,1,0,0,6
condimento,+,0,0,1,3
lardo,A,1,0,1,3
taioba,+,0,0,2,3
emurchecer,-,1,0,0,3
recanto,+,0,0,2,3
proficiente,+,0,0,3,2
entabocar,-,2,0,0,3
rolha,A,1,0,1,4
abraçamento,+,0,0,1,5
abraço,+,0,0,1,4
grude,-,1,0,0,5
cola,-,1,0,0,4
implicitamente,+,0,0,1,5
tacitamente,+,0,0,1,6
achega,+,0,0,2,1
dica,+,0,0,1,2
gorduroso,-,3,0,0,3
untuoso,-,2,1,0,3
intrujice,-,2,0,0,1
ópio,-,2,0,0,2
repreender,0,0,4,0,3
saúde,+,0,1,3,4
impulsivo,-,1,0,0,4
acarretar,A,1,1,0,2
chorão,-,1,0,0,5
choramingador,-,1,0,0,6
sufocador,-,1,0,0,4
escárnio,+,0,0,2,1
escarnecimento,+,0,0,2,2
inveja,U,0,0,0,6
zelotipia,U,0,0,0,7
versátil,-,2,1,0,5
andejo,-,2,0,0,5
permeável,+,0,0,2,4
paliação,-,2,0,0,3
manter,0,0,5,0,3
mostrengo,0,0,1,0,5
quasímodo,0,0,1,0,6
fundamentar,0,0,3,0,3
tropia,U,0,0,0,-1
tropismo,U,0,0,0,-1
estaca,0,0,2,1,5
sintetizar,0,0,5,1,3
condensar,0,0,2,1,3
pote,+,0,0,1,5
bacio,+,0,0,1,4
congeminar,0,0,3,1,3
farmacêutico,U,0,0,0,-1
boticário,U,0,0,0,-1
forâneo,-,1,0,0,4
aliciação,-,3,0,0,3
notabilidade,A,0,1,1,3
planeza,U,0,0,0,4
retorno,U,0,0,0,3
desaprazer,A,1,0,1,4
tempo,+,0,1,6,3
charco,-,3,0,0,4
tijuco,-,2,0,0,4
descrente,-,2,0,0,5
escarnecer,A,1,0,1,2
chacotear,0,0,1,0,3
governar,0,0,14,0,3
desconhecido,-,4,0,0,3
reabrir,0,0,1,0,4
utilidade,+,0,1,4,2
amenomania,-,1,0,0,4
afiamento,-,1,0,0,4
amolação,-,3,0,0,3
sericicultor,U,0,0,0,-1
prisca,-,2,0,0,7
referir-se,0,0,2,1,4
pesquisar,0,0,4,2,3
saltear,+,0,0,1,4
sobressaltear,+,0,0,1,5
encabeçamento,+,0,0,2,4
tratantório,0,0,1,0,3
cruzar,0,0,2,1,3
pervagar,0,0,2,0,4
faccioso,-,2,1,0,4
soprado,+,0,0,1,5
assoprado,+,0,0,1,4
cenagoso,0,0,3,0,4
asco,-,4,0,0,4
perseverar,0,0,2,0,4
localizar-se,0,0,2,0,3
reinadio,A,1,0,1,5
rematar,A,0,1,1,2
aprontar,0,0,7,0,3
apiedar-se,-,3,1,0,4
desembaraçar,0,0,3,0,3
afuroar,0,0,2,0,4
furoar,0,0,2,0,4
aplicado,+,1,1,3,4
despropositado,-,5,1,0,4
celerado,-,3,0,0,2
isolar,+,0,0,3,3
acantoar,+,0,0,1,3
ulteriormente,+,0,0,1,5
improperar,A,1,1,1,3
indigerível,-,2,0,0,3
buço,U,0,0,0,5
destacar,+,0,1,7,3
missão,+,0,0,3,4
embaixada,+,0,0,3,4
remissão,+,1,0,2,4
tropelia,-,4,0,0,2
contracenar,A,0,1,1,2
empoleirar-se,0,0,2,1,4
encarrapitar,+,0,0,1,3
medida,+,0,2,10,3
desencarapelar,-,1,0,0,5
escarificador,U,0,0,0,-1
sarjador,U,0,0,0,-1
sopear,-,4,2,0,3
vazio,+,2,0,3,4
despejado,-,4,0,1,4
columbino,0,0,2,0,3
encabeladura,+,0,0,1,4
cabeladura,+,0,0,1,5
antipático,-,4,0,0,4
malquisto,-,1,0,0,5
chançudo,+,0,0,2,4
desenxabido,-,6,0,0,4
infernal,-,3,0,0,3
galgar,+,0,0,2,2
escarcéu,-,2,0,0,3
tenreiro,-,1,0,0,4
dignar-se,0,1,2,0,3
tolerar,0,0,4,1,3
contundir,-,5,0,0,2
náusea,-,5,0,0,4
engulho,-,1,0,0,3
desembaralhar,0,0,1,0,4
desfalecimento,-,3,0,0,4
obtusângulo,U,0,0,0,-1
obtusangulado,U,0,0,0,-1
imprudência,+,1,0,2,3
licenciosidade,0,0,1,0,3
pastilha,+,0,0,1,4
vianês,U,0,0,0,-1
vianense,U,0,0,0,-1
sabatina,A,2,0,2,4
chega,+,0,0,4,4
cheganço,+,0,0,1,3
insofrido,-,4,0,0,3
meios,+,0,0,2,3
metralha,+,0,0,1,4
alforge,A,1,0,1,5
cevadeira,U,0,0,0,6
árvore-da-borracha,-,1,0,0,7
seringueira,-,1,0,0,6
estouvamento,A,1,0,1,4
bocadinho,+,0,0,1,6
cisquinho,+,0,0,1,7
padieira,U,0,0,0,-1
torça,U,0,0,0,-1
fartadela,-,3,0,0,5
amarrado,-,2,0,1,4
atado,-,4,0,1,3
esgalgar,+,0,0,1,5
terra-a-terra,0,0,2,0,2
frigidíssimo,-,1,0,0,5
algente,-,1,0,0,4
purgante,+,0,0,1,8
relaxativo,+,0,0,2,9
preambular,A,0,1,1,5
introdutório,U,0,0,0,6
deslumbrar,A,2,2,0,4
pechincho,-,1,0,0,5
atarantado,-,2,0,0,4
emonar-se,-,1,0,0,4
vertebral,U,0,0,0,-1
vertebrado,U,0,0,0,-1
quadrado,A,0,1,1,4
apear,-,2,1,0,3
descavalgar,-,2,0,0,4
proditório,-,1,0,0,3
tribular,-,2,0,0,4
esparramar-se,+,0,0,1,5
escarrapachar,+,0,0,1,4
égide,+,0,0,2,2
fundamentação,+,0,0,3,3
alicerçagem,+,0,0,1,4
abarbatar,+,0,0,2,3
florescer,+,0,1,2,3
florear,+,0,0,2,4
dramatizar,+,0,0,1,4
teatralizar,+,0,0,1,3
cenatório,+,0,0,1,4
lindeza,+,0,0,2,3
beleza,+,0,0,4,3
pousar,0,0,5,0,4
trombeteiro,+,0,0,2,5
retardar,+,0,1,2,3
temporizar,A,2,1,2,4
alimentar,0,0,6,1,3
prestabilidade,+,0,0,1,3
galvanotipia,U,0,0,0,-1
electrotipia,U,0,0,0,-1
compreensão,+,0,0,3,3
decifração,+,0,0,2,4
apeganhar,+,0,0,1,3
rezar,0,0,1,0,1
entremisturar,-,1,0,0,2
condescendente,+,0,0,1,4
transigente,+,0,0,2,5
soçobrar,A,1,1,0,3
orquestração,-,1,0,0,3
cimo,-,3,0,2,4
picaroto,-,2,0,0,4
rascoeira,A,1,0,1,5
escapada,+,0,0,1,4
episódico,+,0,0,2,4
farra,-,5,0,0,3
rapioca,-,2,0,0,3
amotinado,-,3,0,0,4
calculista,0,0,1,0,4
desumano,-,11,0,0,3
impio,-,2,0,0,3
inconsistência,-,2,0,0,5
aleatório,+,0,0,2,6
emprestar,0,0,2,0,4
nazismo,U,0,0,0,-1
nacional-socialismo,U,0,0,0,-1
gravativo,-,1,0,0,3
vaia,+,0,0,1,2
esborcinar,A,1,1,0,4
concorrido,+,0,0,1,5
emagrecido,-,1,0,0,4
amagrado,-,1,0,0,3
flatulência,-,2,0,0,3
floreado,+,0,0,1,4
revestir,0,0,5,0,3
sapatilhas,+,0,0,1,11
quedes,+,0,0,1,10
tiranizar,-,2,0,0,2
problemático,-,4,0,0,3
ornejo,U,0,0,0,-1
rebusno,U,0,0,0,-1
alambor,-,1,0,0,5
jorro,-,1,0,0,4
perfumado,+,0,0,3,5
incerto,-,11,0,0,3
opinativo,-,1,0,0,3
irreverência,A,1,0,1,3
cornudo,-,1,0,0,3
torvidade,-,2,0,0,2
urinar,U,0,0,0,-1
mijar,U,0,0,0,-1
atalho,+,1,1,2,4
liança,+,0,0,3,1
definhado,-,3,0,0,3
programação,+,0,0,1,3
importar,0,0,4,0,2
tacanho,-,7,0,1,3
lotação,+,0,0,1,4
espaço,+,0,1,3,3
cárcere,+,0,0,1,3
superior,+,0,0,1,2
abastecimento,+,0,0,3,4
fornimento,+,0,1,2,4
afanar,0,0,1,0,4
prospectar,A,0,1,1,3
rastilho,0,0,2,1,4
utente,U,0,0,0,-1
utilizador,U,0,0,0,-1
desbaratamento,0,0,1,0,4
distintamente,0,0,1,0,7
insignemente,0,0,1,0,8
gritante,-,2,0,0,5
clamoroso,-,1,0,0,5
kilovolt-ampere,U,0,0,0,-1
quilovolt-ampere,U,0,0,0,-1
estilhaçar,-,2,0,0,3
estilhar,-,1,0,0,4
amabilidade,+,0,0,5,3
simpatia,+,1,0,3,3
descrer,0,0,2,0,5
ânsia,-,4,0,2,3
soletrar,+,0,0,1,2
donzel,0,0,3,0,3
tredo,-,1,0,0,3
afrontoso,-,2,0,0,4
vexante,A,1,1,0,5
tanchar,+,0,0,1,4
espreitar,0,0,1,0,3
engalriçar,+,0,0,2,3
criançola,-,3,0,0,6
rapazelho,-,1,0,0,7
maioria,+,0,1,2,4
desestabilização,-,3,0,0,3
indesejavelmente,U,0,0,0,-1
pobre-diabo,0,0,1,0,5
fabiano,0,0,1,0,6
amargor,-,2,0,0,3
travo,-,1,0,0,4
complacente,+,0,0,5,4
virar,0,0,4,1,2
salpicos,-,1,0,0,6
reunião,+,0,0,8,2
consílio,+,0,0,3,3
esbarrondar,-,3,0,0,3
impacto,-,1,0,0,3
cercão,+,0,0,2,5
sideral,U,0,0,0,3
astral,+,0,0,1,4
envelhecer,-,2,1,1,4
gatimónias,A,1,0,1,4
pendão,+,0,0,1,3
bandeira,+,0,0,1,2
repentino,+,2,0,3,5
cuidar,0,0,3,0,2
deputar,0,0,2,0,4
sestroso,0,0,1,0,3
alanhar,-,2,0,0,2
conspirador,U,0,0,0,-1
conspirante,U,0,0,0,-1
tuberóide,U,0,0,0,-1
tuberiforme,U,0,0,0,-1
caiadela,A,1,0,1,3
inflexão,0,0,1,0,3
corroborar,+,0,0,2,2
referendar,+,0,0,3,3
palrador,-,3,0,0,4
galreiro,-,1,0,0,5
contumaz,-,6,0,0,4
conjunção,+,0,0,1,2
difamar,-,2,0,1,3
pejorar,-,2,0,0,3
emocionado,-,2,0,0,4
despromover,-,2,0,0,2
desinquietar,A,1,1,0,3
equitativo,A,0,1,1,4
equável,A,0,1,1,4
razoavelmente,0,0,2,0,2
sofrivelmente,0,0,2,0,3
brinco,+,1,0,2,4
empregado,+,0,0,1,3
contratado,+,0,0,1,4
vergel,U,0,0,0,7
borraçar,0,0,1,0,4
borriçar,0,0,2,0,4
socorrer,0,0,2,1,3
hipérbole,U,0,0,0,5
auxese,+,0,0,1,5
alfaiatar,U,0,0,0,4
garfo,+,0,0,2,4
gadanho,+,0,0,2,3
arquejo,A,1,1,1,4
arranco,0,0,1,0,4
tasca,0,0,1,0,3
plenamente,0,0,2,0,4
impudência,A,2,0,2,4
fomentar,+,0,3,5,3
ginecofobia,U,0,0,0,-1
ginofobia,U,0,0,0,-1
superexposição,U,0,0,0,-1
sobreexposição,U,0,0,0,-1
calamitoso,-,2,0,0,2
desarrazoar,0,0,1,0,5
desapossar,A,1,1,0,4
desempossar,U,0,0,0,5
exactidão,-,3,0,2,2
fidelidade,+,1,0,2,3
estiolar,-,3,0,0,4
agostar,-,1,0,0,5
humilhação,+,0,0,3,3
proeminente,0,1,4,3,3
taimado,-,1,0,0,3
desaconselhar,0,0,2,0,5
desadmoestar,0,0,1,0,6
nomenclatura,+,0,0,1,4
apotegma,+,0,0,1,4
máxima,+,2,0,4,3
impetuosamente,-,1,0,0,4
aporrinhar,0,0,1,0,3
especiosidade,+,0,0,1,3
tratantada,-,2,0,0,3
classificar-se,+,0,0,1,3
qualificar,+,0,0,1,2
bem-posto,+,1,0,2,4
aparar,+,0,0,1,2
