words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
adiantar,A,0,3,3,3
acelerar,A,0,1,1,3
amotinador,-,4,0,0,5
atumultuador,-,1,0,0,6
inconstante,-,5,1,0,4
voltário,-,3,0,0,5
acanhado,-,5,0,1,3
encolhido,-,4,0,0,4
universalidade,0,0,2,0,3
universidade,0,0,2,0,4
vermelho,A,1,1,1,4
rubicundo,-,2,0,0,5
meão,0,0,1,0,3
entrefino,A,0,1,1,4
recurso,+,0,0,4,2
partido,+,0,0,9,3
degredado,-,2,0,1,5
exilado,-,3,0,1,5
domesticado,+,0,0,1,4
caparoeiro,+,0,0,1,5
caro,-,4,0,0,3
salgado,-,3,0,1,4
assustar,A,3,3,0,3
espaventar,+,0,0,1,4
agregar,0,0,6,1,3
cooptar,0,0,1,0,4
polir,A,1,4,4,3
encrave,-,1,0,0,7
encravo,-,1,0,0,6
cutelo,+,0,0,1,7
cotó,+,0,0,1,6
concreção,+,0,0,2,4
concreto,+,0,2,3,3
borrão,+,3,1,4,4
pastelada,-,2,0,0,3
alimentação,+,0,0,3,3
mantença,+,0,0,4,3
cilada,-,8,0,0,2
trapola,-,1,0,0,1
obscuramente,U,0,0,0,-1
minusculamente,U,0,0,0,-1
partícula,-,2,0,0,4
miuçalha,-,1,0,0,4
ousar,0,0,2,1,4
afoitar,+,0,1,3,4
pairar,0,2,3,0,4
flutuar,0,1,4,3,4
aportuguesar,U,0,0,0,-1
lusificar,U,0,0,0,-1
irritar,A,0,2,2,2
amostardar,+,0,0,1,3
amolgadura,-,2,0,1,4
aboladura,A,1,0,1,5
apurar,+,0,2,4,2
acurar,+,0,0,1,3
insinuação,+,0,0,4,4
instilação,+,0,0,1,3
aceder,U,0,0,0,2
subscrever,+,0,0,3,3
malquerença,-,2,0,0,3
desgraça,-,2,0,1,2
acorrentar,A,1,1,0,3
agrilhoar,-,2,1,0,2
servilismo,A,1,1,0,5
capachice,-,1,0,0,5
árvore-do-pão,U,0,0,0,-1
artocarpo,U,0,0,0,-1
religioso,A,1,1,1,3
adorativo,U,0,0,0,4
conservar,0,0,2,0,3
ter,0,0,9,2,2
habilidosamente,-,1,0,0,12
diplomaticamente,-,1,0,0,13
susceptível,A,2,0,2,3
sujeito,+,0,3,6,3
raciocinar,0,0,5,0,3
discursar,0,0,5,0,4
arvorezinha,U,0,0,0,-1
arbúscula,U,0,0,0,-1
alterar,A,1,1,1,2
combalir,-,1,0,0,3
subserviência,-,1,0,0,4
prostituta,-,1,0,0,4
cação,-,2,0,0,5
abater,-,9,0,2,2
achatar,-,2,0,0,1
rimar,0,0,1,0,4
aconsoantar,0,0,1,0,5
mal-humorado,-,3,0,0,3
rabugento,-,5,0,0,3
vadiar,+,0,2,3,4
bandurrear,+,0,0,1,5
respeitabilidade,+,0,0,1,4
venerabilidade,+,0,0,1,5
seleccionar,+,0,0,1,3
seccionar,+,0,0,1,4
ravinado,U,0,0,0,-1
ravinoso,U,0,0,0,-1
mocho,A,1,0,1,4
cacoco,U,0,0,0,5
frequentador,A,1,0,1,5
habitué,+,0,0,1,5
patego,0,0,1,0,4
valentão,+,1,0,3,4
tranca-ruas,-,2,0,1,4
agitado,-,7,0,0,3
trepidante,-,2,0,0,4
aborrecimento,-,2,0,0,2
fornicação,-,2,0,0,3
fraga,-,3,0,0,4
pena,-,4,0,2,3
sapupira,U,0,0,0,-1
sebipira,U,0,0,0,-1
rude,-,9,2,0,3
obtuso,-,4,1,1,4
reagir,0,0,2,0,3
engravitar-se,0,0,2,1,4
procedente,0,0,3,0,3
producente,0,0,2,0,4
arrocho,A,1,0,1,2
tocho,+,0,0,2,3
prosperar,+,0,0,4,2
crescer,+,0,0,7,2
discutir,0,0,5,0,4
controverter,0,1,2,0,4
queimar,-,3,1,2,3
estonar,A,1,2,2,3
borbotar,0,0,1,0,3
referver,A,0,1,1,3
gotejar,0,0,2,0,4
lacrimejar,0,0,1,0,5
censuravelmente,U,0,0,0,-1
criticamente,U,0,0,0,-1
bater,A,0,1,1,3
dar,0,0,4,0,2
prevenido,A,0,1,1,3
precavido,0,0,3,0,3
dramatologia,U,0,0,0,-1
dramaturgia,U,0,0,0,-1
tarefa,0,0,1,0,3
frete,0,0,1,0,2
conveniência,+,0,0,4,2
justeza,-,4,0,2,3
ziguezagues,+,0,0,1,4
bordo,+,0,0,2,3
moderação,+,0,1,5,3
sobriedade,+,1,0,3,2
içado,U,0,0,0,-1
arvorado,U,0,0,0,-1
reintegrar,0,0,2,0,3
reinvestir,0,0,1,0,4
andamento,0,0,1,0,1
dócil,+,0,1,3,4
cabresteiro,+,0,0,1,5
sufocante,-,1,0,0,3
abafador,A,1,1,0,4
célebre,+,1,0,6,3
afamado,+,0,0,3,3
estagnar,-,2,0,0,4
arremansar-se,-,1,0,0,5
pingalim,A,1,0,1,6
barbatana,-,1,0,0,5
ortografar,0,0,1,0,4
grafar,0,0,1,0,3
surripiar,+,1,0,3,3
bispar,+,0,0,1,2
galhofeiro,+,1,0,3,4
faceto,U,0,0,0,3
penetrar,A,0,1,1,2
imergir,A,1,1,0,3
sucintamente,U,0,0,0,-1
esquematicamente,U,0,0,0,-1
larápio,0,1,2,1,4
rato,A,1,0,1,4
desonrar,-,2,0,0,2
enodoar,-,4,0,0,3
cobertor,+,0,0,1,3
coberta,+,0,0,2,2
dissertação,+,0,0,2,4
discurso,+,1,1,5,3
